Symbol,Date,Signal,Confidence,Type,Condition,ATRpct,SizePct
IONX,2025-10-03,OBV Divergence,60.7,SELL,OBV Divergence,13.96,0.19
IONX,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,13.96,0.0
PLUG,2025-10-03,OBV Divergence,50.2,SELL,OBV Divergence,9.82,0.22
PLUG,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,9.82,0.0
NVDA,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,2.96,0.0
REPX,2025-10-03,OBV Divergence,46.6,SELL,OBV Divergence,3.96,0.5
GOOG,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,2.11,0.0
SNCY,2025-10-03,OBV Divergence,60.3,SELL,OBV Divergence,4.24,0.61
QID,2025-10-03,OBV Divergence,59.5,SELL,OBV Divergence,1.99,1.28
SOXL,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,5.25,0.0
SPRX,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,2.7,0.0
ARM,2025-10-03,OBV Divergence,49.8,SELL,OBV Divergence,3.34,0.64
ARM,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,3.34,0.0
INTC,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,5.9,0.0
SH,2025-10-03,OBV Divergence,59.8,SELL,OBV Divergence,0.8,3.19
QS,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,9.29,0.0
QBTS,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,9.15,0.0
EXPE,2025-10-03,OBV Divergence,84.3,SELL,OBV Divergence,2.92,1.24
EXPE,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,2.92,0.0
IONQ,2025-10-03,OBV Divergence,61.5,SELL,OBV Divergence,7.51,0.35
IONQ,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,7.51,0.0
NVDL,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,5.51,0.0
QUBT,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,11.12,0.0
RIVN,2025-10-03,OBV Divergence,57.3,SELL,OBV Divergence,6.23,0.39
CONL,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,7.53,0.0
BBAI,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,9.28,0.0
NVDU,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,5.52,0.0
OKLO,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,10.32,0.0
PL,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,5.15,0.0
NDAQ,2025-10-03,OBV Divergence,71.7,SELL,OBV Divergence,1.92,1.6
QNTM,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,9.32,0.0
IBM,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,2.32,0.0
BTBT,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,6.92,0.0
CIFR,2025-10-03,OBV Divergence,49.7,SELL,OBV Divergence,10.26,0.21
CIFR,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,10.26,0.0
NNOX,2025-10-03,Trendline Break with Volume,35.5,SELL,Trendline Break with Volume,4.49,0.34
NNOX,2025-10-03,OBV Divergence,35.5,SELL,OBV Divergence,4.49,0.34
ARQQ,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,9.36,0.0
MP,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,7.22,0.0
RBRK,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,4.13,0.0
RVMD,2025-10-03,OBV Divergence,54.4,SELL,OBV Divergence,3.53,0.66
RVMD,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,3.53,0.0
MSFT,2025-10-03,OBV Divergence,50.7,SELL,OBV Divergence,1.42,1.53
MSFT,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,1.42,0.0
ALAB,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,7.99,0.0
NNE,2025-10-03,OBV Divergence,50.8,SELL,OBV Divergence,7.72,0.28
NNE,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,7.72,0.0
ASTS,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,6.9,0.0
QID,2025-10-03,Stage: Mark-Down,85.0,WATCH,STAGE,,
QID,2025-10-03,OBV Divergence,59.5,SELL,OBV Divergence,1.99,1.28
GOOG,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
GOOG,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,2.11,0.0
NDAQ,2025-10-03,Stage: Accumulation,70.0,WATCH,STAGE,,
NDAQ,2025-10-03,OBV Divergence,71.7,SELL,OBV Divergence,1.92,1.6
QBTS,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
QBTS,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,9.15,0.0
SOXL,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
SOXL,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,5.25,0.0
MP,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
MP,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,7.22,0.0
RIVN,2025-10-03,Stage: Accumulation,85.0,WATCH,STAGE,,
RIVN,2025-10-03,OBV Divergence,57.3,SELL,OBV Divergence,6.23,0.39
ARQQ,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
ARQQ,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,9.36,0.0
JBL,2025-10-03,Stage: Accumulation,50.0,WATCH,STAGE,,
OKLO,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
OKLO,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,10.32,0.0
CONI,2025-10-03,Stage: Mark-Down,85.0,WATCH,STAGE,,
RBRK,2025-10-03,Stage: Distribution,80.0,WATCH,STAGE,,
RBRK,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,4.13,0.0
QS,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
QS,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,9.29,0.0
PLUG,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
PLUG,2025-10-03,OBV Divergence,50.2,SELL,OBV Divergence,9.82,0.22
PLUG,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,9.82,0.0
CIFR,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
CIFR,2025-10-03,OBV Divergence,49.7,SELL,OBV Divergence,10.26,0.21
CIFR,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,10.26,0.0
MSFT,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
MSFT,2025-10-03,OBV Divergence,50.7,SELL,OBV Divergence,1.42,1.53
MSFT,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,1.42,0.0
QUBT,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
QUBT,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,11.12,0.0
ASTS,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
ASTS,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,6.9,0.0
FIAT,2025-10-03,Stage: Mark-Down,85.0,WATCH,STAGE,,
RXRX,2025-10-03,Stage: Accumulation,70.0,WATCH,STAGE,,
RXRX,2025-10-03,Trendline Break with Volume,36.7,SELL,Trendline Break with Volume,5.75,0.27
INTC,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
INTC,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,5.9,0.0
ALAB,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
ALAB,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,7.99,0.0
AMBA,2025-10-03,Stage: Mark-Up,65.0,WATCH,STAGE,,
SH,2025-10-03,Stage: Mark-Down,85.0,WATCH,STAGE,,
SH,2025-10-03,OBV Divergence,59.8,SELL,OBV Divergence,0.8,3.19
CRDO,2025-10-03,Stage: Mark-Up,65.0,WATCH,STAGE,,
ARM,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
ARM,2025-10-03,OBV Divergence,49.8,SELL,OBV Divergence,3.34,0.64
ARM,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,3.34,0.0
IONX,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
IONX,2025-10-03,OBV Divergence,60.7,SELL,OBV Divergence,13.96,0.19
IONX,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,13.96,0.0
IONQ,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
IONQ,2025-10-03,OBV Divergence,61.5,SELL,OBV Divergence,7.51,0.35
IONQ,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,7.51,0.0
NVDL,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
NVDL,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,5.51,0.0
RVMD,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
RVMD,2025-10-03,OBV Divergence,54.4,SELL,OBV Divergence,3.53,0.66
RVMD,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,3.53,0.0
QNTM,2025-10-03,Stage: Mark-Up,70.0,WATCH,STAGE,,
QNTM,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,9.32,0.0
IBM,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
IBM,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,2.32,0.0
BTBT,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
BTBT,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,6.92,0.0
REPX,2025-10-03,Stage: Accumulation,85.0,WATCH,STAGE,,
REPX,2025-10-03,OBV Divergence,46.6,SELL,OBV Divergence,3.96,0.5
NNE,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
NNE,2025-10-03,OBV Divergence,50.8,SELL,OBV Divergence,7.72,0.28
NNE,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,7.72,0.0
PL,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
PL,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,5.15,0.0
SPRX,2025-10-03,Stage: Distribution,90.0,WATCH,STAGE,,
SPRX,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,2.7,0.0
SNCY,2025-10-03,Stage: Accumulation,85.0,WATCH,STAGE,,
SNCY,2025-10-03,OBV Divergence,60.3,SELL,OBV Divergence,4.24,0.61
MSTU,2025-10-03,Stage: Mark-Down,65.0,WATCH,STAGE,,
NNOX,2025-10-03,Stage: Accumulation,65.0,WATCH,STAGE,,
NNOX,2025-10-03,Trendline Break with Volume,35.5,SELL,Trendline Break with Volume,4.49,0.34
NNOX,2025-10-03,OBV Divergence,35.5,SELL,OBV Divergence,4.49,0.34
NVDA,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
NVDA,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,2.96,0.0
EXPE,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
EXPE,2025-10-03,OBV Divergence,84.3,SELL,OBV Divergence,2.92,1.24
EXPE,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,2.92,0.0
CONL,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
CONL,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,7.53,0.0
BBAI,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
BBAI,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,9.28,0.0
KRNT,2025-10-03,Stage: Mark-Down,65.0,WATCH,STAGE,,
NVDU,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
NVDU,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,5.52,0.0
BTBT,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
BTBT,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,6.92,0.0
NVDL,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
NVDL,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,5.51,0.0
MSFT,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
MSFT,2025-10-03,OBV Divergence,50.7,SELL,OBV Divergence,1.42,1.53
MSFT,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,1.42,0.0
CONL,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
CONL,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,7.53,0.0
MP,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
MP,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,7.22,0.0
SPRX,2025-10-03,Stage: Distribution,90.0,WATCH,STAGE,,
SPRX,2025-10-04,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,NearReclaim,2.7,0.0
QUBT,2025-10-03,Stage: Mark-Up,85.0,WATCH,STAGE,,
