date,open,high,low,close,volume,average,symbol
2022-10-26,14.15,14.44,13.99,14.0,254544.19,14.193,AAL
2022-10-27,14.18,14.48,13.96,13.97,221989.41,14.172,AAL
2022-10-28,14.01,14.1,13.78,14.0,240455.07,13.964,AAL
2022-10-31,14.02,14.32,13.88,14.18,238960.37,14.154,AAL
2022-11-01,14.42,14.54,14.09,14.11,230033.54,14.243,AAL
2022-11-02,14.01,14.27,13.55,13.58,318011.74,13.919,AAL
2022-11-03,13.39,13.87,13.2,13.73,220140.92,13.638,AAL
2022-11-04,14.06,14.4,13.86,14.11,257351.88,14.109,AAL
2022-11-07,14.32,14.39,13.85,14.32,224512.81,14.107,AAL
2022-11-08,14.29,14.45,14.08,14.25,236491.2,14.28,AAL
2022-11-09,14.14,14.34,13.97,13.98,191119.05,14.148,AAL
2022-11-10,14.46,14.99,14.36,14.93,319318.36,14.784,AAL
2022-11-11,15.0,15.08,14.72,14.88,218545.23,14.916,AAL
2022-11-14,14.79,15.03,14.55,14.68,238913.23,14.863,AAL
2022-11-15,14.98,15.18,14.52,14.61,265926.51,14.841,AAL
2022-11-16,14.46,14.47,14.01,14.09,257295.85,14.121,AAL
2022-11-17,13.83,14.02,13.68,13.95,180503.76,13.854,AAL
2022-11-18,14.25,14.58,13.92,14.05,224219.96,14.18,AAL
2022-11-21,14.02,14.27,13.8,13.85,238194.06,13.975,AAL
2022-11-22,13.85,14.03,13.36,13.98,244388.43,13.786,AAL
2022-11-23,13.98,14.43,13.88,14.42,219505.03,14.208,AAL
2022-11-25,14.4,14.7,14.35,14.5,87797.88,14.579,AAL
2022-11-28,14.34,14.44,13.82,13.83,192167.88,14.086,AAL
2022-11-29,13.89,14.16,13.83,14.14,146092.88,14.01,AAL
2022-11-30,14.15,14.45,13.93,14.43,186220.9,14.18,AAL
2022-12-01,14.46,14.57,13.93,13.98,238569.67,14.099,AAL
2022-12-02,13.82,13.98,13.67,13.97,203210.72,13.837,AAL
2022-12-05,13.84,14.34,13.82,14.11,236221.38,14.087,AAL
2022-12-06,14.14,14.34,14.0,14.33,173699.39,14.156,AAL
2022-12-07,14.25,14.25,13.53,13.55,255217.28,13.75,AAL
2022-12-08,13.65,13.8,13.38,13.6,232746.25,13.604,AAL
2022-12-09,13.53,13.66,13.42,13.53,145570.6,13.54,AAL
2022-12-12,13.47,14.21,13.45,14.2,209749.86,13.898,AAL
2022-12-13,14.61,14.74,13.29,13.46,453484.63,13.709,AAL
2022-12-14,13.58,13.69,13.24,13.35,307110.24,13.419,AAL
2022-12-15,13.18,13.31,12.8,12.93,225542.31,12.973,AAL
2022-12-16,12.97,13.1,12.59,12.81,195341.28,12.791,AAL
2022-12-19,12.85,12.89,12.46,12.48,177995.05,12.618,AAL
2022-12-20,12.42,12.62,12.37,12.53,182199.29,12.484,AAL
2022-12-21,12.69,13.22,12.65,13.03,270536.51,13.032,AAL
2022-12-22,12.98,13.0,12.23,12.56,233081.46,12.493,AAL
2022-12-23,12.51,12.71,12.32,12.71,160152.12,12.552,AAL
2022-12-27,12.62,12.79,12.39,12.53,169009.54,12.599,AAL
2022-12-28,12.53,12.68,12.25,12.32,189938.69,12.378,AAL
2022-12-29,12.39,12.71,12.29,12.7,175961.2,12.562,AAL
2022-12-30,12.55,12.83,12.53,12.72,169952.27,12.67,AAL
2023-01-03,12.91,13.0,12.52,12.74,188969.27,12.709,AAL
2023-01-04,12.86,13.61,12.86,13.59,301867.84,13.382,AAL
2023-01-05,13.5,14.01,13.42,13.99,241446.13,13.849,AAL
2023-01-06,14.01,14.25,13.91,14.18,238878.83,14.118,AAL
2023-01-09,14.25,14.79,14.23,14.61,283181.65,14.645,AAL
2023-01-10,14.56,15.2,14.56,15.19,251859.33,14.95,AAL
2023-01-11,15.09,15.5,15.05,15.34,252999.66,15.324,AAL
2023-01-12,16.03,16.9,15.87,16.83,804460.64,16.464,AAL
2023-01-13,16.16,17.07,16.01,17.02,413939.01,16.791,AAL
2023-01-17,16.9,17.12,16.74,17.08,265303.14,16.975,AAL
2023-01-18,17.53,17.64,16.59,16.64,348625.25,16.957,AAL
2023-01-19,16.44,16.49,16.01,16.28,293307.77,16.249,AAL
2023-01-20,16.36,16.54,16.14,16.34,202737.76,16.364,AAL
2023-01-23,16.4,16.44,16.16,16.17,205840.17,16.287,AAL
2023-01-24,16.01,16.43,15.96,16.02,189608.0,16.186,AAL
2023-01-25,15.97,16.48,15.9,16.26,300133.87,16.239,AAL
2023-01-26,16.54,16.74,15.73,16.61,395672.58,16.307,AAL
2023-01-27,16.54,16.81,16.37,16.43,231903.57,16.534,AAL
2023-01-30,16.29,16.6,15.91,15.96,210478.54,16.157,AAL
2023-01-31,16.01,16.24,15.91,16.14,170970.14,16.075,AAL
2023-02-01,16.04,16.72,15.92,16.69,233112.2,16.334,AAL
2023-02-02,16.73,17.32,16.72,17.06,270233.99,17.03,AAL
2023-02-03,16.87,17.22,16.85,17.02,182413.19,17.002,AAL
2023-02-06,16.9,17.09,16.79,16.92,153813.27,16.94,AAL
2023-02-07,16.92,17.03,16.54,16.96,169261.28,16.86,AAL
2023-02-08,17.26,17.44,16.8,16.97,171749.93,17.072,AAL
2023-02-09,17.11,17.16,16.59,16.66,145909.05,16.924,AAL
2023-02-10,16.41,16.44,16.14,16.28,124055.96,16.296,AAL
2023-02-13,16.25,16.6,16.21,16.51,106692.34,16.456,AAL
2023-02-14,16.49,16.85,16.33,16.79,155741.2,16.654,AAL
2023-02-15,16.64,16.84,16.58,16.8,111392.42,16.729,AAL
2023-02-16,16.59,16.67,16.36,16.39,133877.63,16.527,AAL
2023-02-17,16.38,16.56,16.15,16.36,156416.7,16.402,AAL
2023-02-21,16.06,16.2,15.52,15.69,208697.34,15.78,AAL
2023-02-22,15.65,15.82,15.41,15.56,201189.69,15.567,AAL
2023-02-23,15.66,16.17,15.5,15.87,228631.95,15.818,AAL
2023-02-24,15.51,15.67,15.36,15.56,175138.12,15.495,AAL
2023-02-27,15.74,15.83,15.55,15.63,138809.34,15.685,AAL
2023-02-28,15.55,16.05,15.53,15.98,132620.59,15.878,AAL
2023-03-01,15.93,16.05,15.75,16.03,99348.72,15.939,AAL
2023-03-02,15.91,16.15,15.73,16.12,103067.61,15.93,AAL
2023-03-03,16.37,16.55,16.14,16.36,123867.42,16.377,AAL
2023-03-06,16.47,16.55,16.1,16.12,112790.99,16.305,AAL
2023-03-07,16.26,16.66,16.14,16.36,159037.04,16.425,AAL
2023-03-08,16.43,16.6,16.27,16.59,99912.12,16.459,AAL
2023-03-09,16.53,16.8,15.84,15.88,160436.68,16.291,AAL
2023-03-10,15.98,16.0,15.11,15.46,232963.0,15.548,AAL
2023-03-13,15.04,15.26,14.69,14.85,277575.98,14.963,AAL
2023-03-14,15.11,15.32,14.48,14.66,258432.49,14.874,AAL
2023-03-15,14.24,14.42,13.51,13.86,363589.13,13.845,AAL
2023-03-16,13.72,14.23,13.62,14.12,210673.93,14.017,AAL
2023-03-17,13.95,14.17,13.67,13.98,246064.96,13.868,AAL
2023-03-20,14.02,14.21,13.86,13.96,237952.35,14.044,AAL
2023-03-21,14.29,14.54,14.24,14.37,149659.02,14.393,AAL
2023-03-22,14.36,14.43,13.79,13.82,185656.68,14.109,AAL
2023-03-23,14.0,14.18,13.47,13.63,226551.41,13.81,AAL
2023-03-24,13.53,13.74,13.36,13.72,174250.85,13.541,AAL
2023-03-27,13.96,14.06,13.71,13.94,148258.65,13.872,AAL
2023-03-28,13.88,14.08,13.85,13.98,98523.31,13.962,AAL
2023-03-29,14.18,14.39,14.05,14.35,129974.68,14.273,AAL
2023-03-30,14.57,14.7,14.46,14.47,115304.5,14.542,AAL
2023-03-31,14.61,14.76,14.56,14.75,101707.53,14.677,AAL
2023-04-03,14.51,14.62,14.28,14.42,124574.74,14.414,AAL
2023-04-04,14.54,14.55,14.01,14.16,139871.78,14.194,AAL
2023-04-05,14.05,14.14,13.7,13.89,171312.09,13.88,AAL
2023-04-06,13.95,14.18,13.87,14.01,118518.85,14.016,AAL
2023-04-10,13.97,14.17,13.91,14.15,169065.09,14.105,AAL
2023-04-11,14.22,14.51,14.08,14.32,154176.16,14.341,AAL
2023-04-12,13.85,13.85,12.91,13.0,866099.57,13.132,AAL
2023-04-13,13.16,13.18,12.76,12.95,402599.91,12.959,AAL
2023-04-14,12.98,13.06,12.73,12.79,241371.71,12.858,AAL
2023-04-17,12.86,13.17,12.8,13.1,226092.66,13.064,AAL
2023-04-18,13.22,13.3,12.97,13.29,219657.99,13.169,AAL
2023-04-19,13.15,13.68,13.13,13.63,282918.93,13.467,AAL
2023-04-20,13.47,13.7,13.31,13.32,210431.41,13.478,AAL
2023-04-21,13.31,13.42,13.16,13.4,145734.83,13.307,AAL
2023-04-24,13.42,13.56,13.05,13.32,231637.56,13.274,AAL
2023-04-25,13.18,13.18,12.81,12.84,300707.61,12.926,AAL
2023-04-26,12.9,13.08,12.65,12.74,295579.27,12.784,AAL
2023-04-27,12.97,13.4,12.75,12.88,407037.99,13.009,AAL
2023-04-28,12.94,13.7,12.85,13.64,409902.88,13.45,AAL
2023-05-01,13.6,14.03,13.52,13.89,255552.42,13.866,AAL
