symbol,MACD_Bullish,RSI_Oversold_Reversal,Volume_Surge,sector,undervalued,ema_bullish,bb_squeeze,rs_vs_proxy,avg_dollar_vol,passes_liquidity,drop_rebound_5%_success_rate,drop_rebound_10%_success_rate,events_10,drop_rebound_15%_success_rate,drop_rebound_20%_success_rate,events_20,drop_rebound_25%_success_rate,drop_rebound_30%_success_rate,events_25,events_30,q_demand_date,q_demand_proximal,q_demand_distal,q_demand_width,q_demand_delta,q_demand_distance,q_demand_distance_pct,q_demand_near,q_supply_date,q_supply_proximal,q_supply_distal,q_supply_width,q_supply_delta,q_supply_distance,q_supply_distance_pct,q_supply_near,score,label
AMBA,False,False,False,Semiconductor,False,True,True,False,450696.00214999996,False,72.58,68.18,44,55.17,55.0,20,60.0,50.0,15,10,2022-12-31,82.23,49.02,33.21,1.0499999999999972,1.0499999999999972,1.276906238599048,True,,,,,,,,,2,⚠️ WEAK
ARQQ,False,False,False,Tech,False,True,False,False,130445.54327000002,False,83.87,83.61,61,83.05,81.48,54,80.39,80.43,51,46,2023-12-31,15.3125,9.775,5.5375,21.137500000000003,21.137500000000003,138.04081632653063,False,2022-12-31,90.25,266.75,176.5,-53.8,53.8,59.612188365650965,False,3,⚠️ WEAK
ASTS,True,False,False,Satellite,False,True,False,False,3546868.733295,True,93.94,90.16,61,92.45,90.57,53,91.84,87.8,49,41,2025-03-31,22.74,17.5,5.239999999999998,26.350000000000005,26.350000000000005,115.8751099384345,False,,,,,,,,,4,⚠️ WEAK
BBAI,False,False,False,AI,False,True,False,False,5320781.275915,True,89.06,90.48,63,89.09,89.58,48,83.33,84.21,42,38,2023-12-31,2.14,1.16,0.9800000000000002,4.59,4.59,214.4859813084112,False,,,,,,,,,2,⚠️ WEAK
BTBT,False,False,False,CryptoMining,False,True,False,False,597620.2186474999,False,90.77,89.83,59,90.38,90.7,43,86.49,84.85,37,33,2025-06-30,2.19,1.69,0.5,0.7600000000000002,0.7600000000000002,34.70319634703197,False,,,,,,,,,2,⚠️ WEAK
CIFR,False,False,False,CryptoMining,False,True,False,True,4616284.139485,True,92.42,90.32,62,91.23,90.57,53,91.11,90.48,45,42,2024-03-31,5.15,2.155,2.9950000000000006,6.32,6.32,122.71844660194175,False,,,,,,,,,4,⚠️ WEAK
EXPE,False,False,False,TravelTech,False,True,True,False,1371039.173645,False,74.0,62.5,32,60.0,71.43,7,100.0,100.0,3,1,2025-06-30,168.36,129.46,38.900000000000006,54.50999999999999,54.50999999999999,32.37704918032786,False,,,,,,,,,2,⚠️ WEAK
INTC,True,False,True,Semiconductor,False,True,False,True,28668860.342935003,True,65.62,68.09,47,68.42,68.0,25,68.18,66.67,22,15,2024-09-30,30.72,18.51,12.209999999999997,4.780000000000001,4.780000000000001,15.559895833333337,False,,,,,,,,,4,⚠️ WEAK
IONQ,False,False,False,Quantum,False,True,False,True,12014511.208355,True,93.85,91.67,60,92.73,91.3,46,91.18,88.0,34,25,2024-09-30,8.74,6.22,2.5200000000000005,58.54,58.54,669.7940503432494,False,,,,,,,,,3,⚠️ WEAK
MP,False,False,False,RareEarth,False,True,False,False,5533546.115174999,True,78.46,74.0,50,69.05,69.7,33,75.0,87.5,20,8,2022-12-31,27.78,23.49,4.290000000000003,40.849999999999994,40.849999999999994,147.0482361411087,False,,,,,,,,,2,⚠️ WEAK
NDAQ,False,True,False,Exchange,False,True,False,False,1295156.5569600002,False,28.57,25.0,16,33.33,0.0,0,0.0,0.0,0,0,2023-12-31,56.8,45.62,11.18,30.710000000000008,30.710000000000008,54.06690140845072,False,,,,,,,,,2,⚠️ WEAK
