Symbol,Date,Signal,Confidence,Type,Condition,ATRpct,SizePct,Pattern detected,Breakout
INDA,2025-12-20,DipReclaim,65.0,BUY,DipReclaim,0.89,3.25,Triple Bottom,No
HEI,2025-12-20,DipReclaim,65.0,BUY,DipReclaim,2.41,3.25,Triple Bottom,No
CW,2025-12-20,DipReclaim,64.7,BUY,DipReclaim,3.27,3.24,Triple Bottom,No
BITQ,2025-12-20,MACD Bearish below zero,51.4,SELL,MACD Bearish below zero,5.72,2.57,-,No
CRPT,2025-12-20,MACD Bearish below zero,51.1,SELL,MACD Bearish below zero,5.86,2.56,-,No
STCE,2025-12-20,MACD Bearish below zero,50.4,SELL,MACD Bearish below zero,6.33,2.52,Double Bottom,No
THNQ,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,1.9,2.5,Double Bottom,No
BILI,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.59,2.5,Double Bottom,No
SCHH,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,0.99,2.5,Triple Bottom,No
NEE,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.04,2.5,-,No
NVDA,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.82,2.5,-,No
CTLP,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,0.69,2.5,Triple Bottom,No
TNK,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.55,2.5,Triple Bottom,No
LGIH,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,4.84,2.5,-,No
PXH,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,0.95,2.5,Triple Bottom,No
IQ,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,4.03,2.5,Double Bottom,No
TENB,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.67,2.5,Double Bottom,No
TMUS,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.31,2.5,Double Bottom,No
CIBR,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,1.86,2.5,Triple Bottom,No
GILD,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.3,2.5,Triple Bottom,No
NKE,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.56,2.5,Double Bottom,No
EEM,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,1.16,2.5,Double Bottom,No
AMZN,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.01,2.5,Triple Bottom,No
ALKS,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.99,2.5,Triple Bottom,No
NET,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.54,2.5,Double Bottom,No
BBY,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.8,2.5,-,No
BLX,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,1.73,2.5,-,No
PDD,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.84,2.5,-,No
SOHU,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.23,2.5,Double Bottom,No
TK,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.57,2.5,Triple Bottom,No
LEN,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.84,2.5,-,No
Z,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,4.46,2.5,-,No
NLR,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.96,2.5,-,No
ANIK,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.45,2.5,Triple Bottom,No
IMMR,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.1,2.5,-,No
EXPI,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.79,2.5,Inverse Head and Shoulders,No
SE,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.75,2.5,-,No
TAL,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.82,2.5,Triple Bottom,No
REPX,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.82,2.5,Double Bottom,No
COR,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.11,2.5,Triple Bottom,No
BB,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,4.89,2.5,-,No
NUKZ,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.44,2.5,-,No
KC,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.82,2.5,-,No
AMBA,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,4.57,2.5,Triple Bottom,No
OVV,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.37,2.5,-,No
DLR,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.81,2.5,-,No
HSTM,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.46,2.5,-,No
CRWD,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,3.65,2.5,Double Bottom,No
