Symbol,Date,Signal,Confidence,Type,Condition,ATRpct,Pattern detected,Breakout
ABT,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_6w:128.9877,2.82,TARGET,SELL_TGT_6w,1.96,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_8w:128.9877,2.82,TARGET,SELL_TGT_8w,1.96,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_12w:128.4129,2.36,TARGET,SELL_TGT_12w,1.96,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_18w:128.4129,2.36,TARGET,SELL_TGT_18w,1.96,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_30w:128.4129,2.36,TARGET,SELL_TGT_30w,1.96,Double Bottom,Yes
AAL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,Double Bottom,No
AAL,2025-12-19,SELL_TGT_6w:15.9378,1.0,TARGET,SELL_TGT_6w,3.2,Double Bottom,No
AAL,2025-12-19,SELL_TGT_8w:15.9378,1.0,TARGET,SELL_TGT_8w,3.2,Double Bottom,No
AAL,2025-12-19,SELL_TGT_12w:15.9378,1.0,TARGET,SELL_TGT_12w,3.2,Double Bottom,No
AAL,2025-12-19,SELL_TGT_18w:15.9378,1.0,TARGET,SELL_TGT_18w,3.2,Double Bottom,No
AAL,2025-12-19,SELL_TGT_30w:15.9378,1.0,TARGET,SELL_TGT_30w,3.2,Double Bottom,No
SizePct
AAL,2025-12-20,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,Near50,3.2,Double Bottom,No,0.0
ACEL,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,Double Bottom,No
ACEL,2025-12-19,SELL_TGT_6w:11.2103,0.45,TARGET,SELL_TGT_6w,2.39,Double Bottom,No
ACEL,2025-12-19,SELL_TGT_8w:11.2716,1.0,TARGET,SELL_TGT_8w,2.39,Double Bottom,No
ACEL,2025-12-19,SELL_TGT_12w:11.2716,1.0,TARGET,SELL_TGT_12w,2.39,Double Bottom,No
ACEL,2025-12-19,SELL_TGT_18w:11.2716,1.0,TARGET,SELL_TGT_18w,2.39,Double Bottom,No
ACEL,2025-12-19,SELL_TGT_30w:11.2716,1.0,TARGET,SELL_TGT_30w,2.39,Double Bottom,No
SizePct
ACEL,2025-12-20,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,Near50,2.39,Double Bottom,No,0.0
ACAD,2025-12-19,Stage: Mark-Up,65.0,WATCH,STAGE,,Triple Bottom,No
ACAD,2025-12-19,SELL_TGT_6w:27.4259,0.98,TARGET,SELL_TGT_6w,3.16,Triple Bottom,No
ACAD,2025-12-19,SELL_TGT_8w:27.4259,0.98,TARGET,SELL_TGT_8w,3.16,Triple Bottom,No
ACAD,2025-12-19,SELL_TGT_12w:27.2232,0.23,TARGET,SELL_TGT_12w,3.16,Triple Bottom,No
ACAD,2025-12-19,SELL_TGT_18w:27.2232,0.23,TARGET,SELL_TGT_18w,3.16,Triple Bottom,No
ACAD,2025-12-19,SELL_TGT_30w:27.2232,0.23,TARGET,SELL_TGT_30w,3.16,Triple Bottom,No
ACIW,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,Double Bottom,No
ACIW,2025-12-19,SELL_TGT_6w:48.6214,1.0,TARGET,SELL_TGT_6w,2.29,Double Bottom,No
ACIW,2025-12-19,SELL_TGT_8w:48.6214,1.0,TARGET,SELL_TGT_8w,2.29,Double Bottom,No
ACIW,2025-12-19,SELL_TGT_12w:48.6214,1.0,TARGET,SELL_TGT_12w,2.29,Double Bottom,No
ACIW,2025-12-19,SELL_TGT_18w:48.6214,1.0,TARGET,SELL_TGT_18w,2.29,Double Bottom,No
ACIW,2025-12-19,SELL_TGT_30w:48.6214,1.0,TARGET,SELL_TGT_30w,2.29,Double Bottom,No
AAPL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,Double Bottom,No
AAPL,2025-12-19,SELL_TGT_6w:287.0231,4.88,TARGET,SELL_TGT_6w,1.68,Double Bottom,No
AAPL,2025-12-19,SELL_TGT_8w:287.0231,4.88,TARGET,SELL_TGT_8w,1.68,Double Bottom,No
AAPL,2025-12-19,SELL_TGT_12w:285.9586,4.49,TARGET,SELL_TGT_12w,1.68,Double Bottom,No
AAPL,2025-12-19,SELL_TGT_18w:285.9586,4.49,TARGET,SELL_TGT_18w,1.68,Double Bottom,No
AAPL,2025-12-19,SELL_TGT_30w:285.9586,4.49,TARGET,SELL_TGT_30w,1.68,Double Bottom,No
SizePct
AAPL,2025-12-20,Primary,50.0,BUY,Continuation,1.68,Double Bottom,No,2.5
AAPL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,Double Bottom,No
AAPL,2025-12-19,SELL_TGT_6w:287.0231,4.88,TARGET,SELL_TGT_6w,1.68,Double Bottom,No
AAPL,2025-12-19,SELL_TGT_8w:287.0231,4.88,TARGET,SELL_TGT_8w,1.68,Double Bottom,No
AAPL,2025-12-19,SELL_TGT_12w:285.9586,4.49,TARGET,SELL_TGT_12w,1.68,Double Bottom,No
AAPL,2025-12-19,SELL_TGT_18w:285.9586,4.49,TARGET,SELL_TGT_18w,1.68,Double Bottom,No
AAPL,2025-12-19,SELL_TGT_30w:285.9586,4.49,TARGET,SELL_TGT_30w,1.68,Double Bottom,No
SizePct
AAPL,2025-12-20,Primary,50.0,BUY,Continuation,1.68,Double Bottom,No,2.5
AAL,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,Double Bottom,No
AAL,2025-12-19,SELL_TGT_6w:15.9378,1.0,TARGET,SELL_TGT_6w,3.2,Double Bottom,No
AAL,2025-12-19,SELL_TGT_8w:15.9378,1.0,TARGET,SELL_TGT_8w,3.2,Double Bottom,No
AAL,2025-12-19,SELL_TGT_12w:15.9378,1.0,TARGET,SELL_TGT_12w,3.2,Double Bottom,No
AAL,2025-12-19,SELL_TGT_18w:15.9378,1.0,TARGET,SELL_TGT_18w,3.2,Double Bottom,No
AAL,2025-12-19,SELL_TGT_30w:15.9378,1.0,TARGET,SELL_TGT_30w,3.2,Double Bottom,No
SizePct
AAL,2025-12-20,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,Near50,3.2,Double Bottom,No,0.0
ACAD,2025-12-19,Stage: Mark-Up,65.0,WATCH,STAGE,,Triple Bottom,No
ACAD,2025-12-19,SELL_TGT_6w:27.4259,0.98,TARGET,SELL_TGT_6w,3.16,Triple Bottom,No
ACAD,2025-12-19,SELL_TGT_8w:27.4259,0.98,TARGET,SELL_TGT_8w,3.16,Triple Bottom,No
ACAD,2025-12-19,SELL_TGT_12w:27.2232,0.23,TARGET,SELL_TGT_12w,3.16,Triple Bottom,No
ACAD,2025-12-19,SELL_TGT_18w:27.2232,0.23,TARGET,SELL_TGT_18w,3.16,Triple Bottom,No
ACAD,2025-12-19,SELL_TGT_30w:27.2232,0.23,TARGET,SELL_TGT_30w,3.16,Triple Bottom,No
ABT,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_6w:128.9877,2.82,TARGET,SELL_TGT_6w,1.96,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_8w:128.9877,2.82,TARGET,SELL_TGT_8w,1.96,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_12w:128.4129,2.36,TARGET,SELL_TGT_12w,1.96,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_18w:128.4129,2.36,TARGET,SELL_TGT_18w,1.96,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_30w:128.4129,2.36,TARGET,SELL_TGT_30w,1.96,Double Bottom,Yes
ACIW,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,Double Bottom,Yes
ACIW,2025-12-19,SELL_TGT_6w:48.6214,1.0,TARGET,SELL_TGT_6w,2.29,Double Bottom,Yes
ACIW,2025-12-19,SELL_TGT_8w:48.6214,1.0,TARGET,SELL_TGT_8w,2.29,Double Bottom,Yes
ACIW,2025-12-19,SELL_TGT_12w:48.6214,1.0,TARGET,SELL_TGT_12w,2.29,Double Bottom,Yes
ACIW,2025-12-19,SELL_TGT_18w:48.6214,1.0,TARGET,SELL_TGT_18w,2.29,Double Bottom,Yes
ACIW,2025-12-19,SELL_TGT_30w:48.6214,1.0,TARGET,SELL_TGT_30w,2.29,Double Bottom,Yes
ACEL,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,Double Bottom,No
ACEL,2025-12-19,SELL_TGT_6w:11.2103,0.45,TARGET,SELL_TGT_6w,2.39,Double Bottom,No
ACEL,2025-12-19,SELL_TGT_8w:11.2716,1.0,TARGET,SELL_TGT_8w,2.39,Double Bottom,No
ACEL,2025-12-19,SELL_TGT_12w:11.2716,1.0,TARGET,SELL_TGT_12w,2.39,Double Bottom,No
ACEL,2025-12-19,SELL_TGT_18w:11.2716,1.0,TARGET,SELL_TGT_18w,2.39,Double Bottom,No
ACEL,2025-12-19,SELL_TGT_30w:11.2716,1.0,TARGET,SELL_TGT_30w,2.39,Double Bottom,No
SizePct
ACEL,2025-12-20,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,Near50,2.39,Double Bottom,No,0.0
TALO,2025-12-19,Stage: Accumulation,65.0,WATCH,STAGE,,,No
TALO,2025-12-19,SELL_TGT_6w:12.0609,10.35,TARGET,SELL_TGT_6w,3.95,,No
TALO,2025-12-19,SELL_TGT_8w:12.0609,10.35,TARGET,SELL_TGT_8w,3.95,,No
TALO,2025-12-19,SELL_TGT_12w:11.9682,9.5,TARGET,SELL_TGT_12w,3.95,,No
TALO,2025-12-19,SELL_TGT_18w:11.9682,9.5,TARGET,SELL_TGT_18w,3.95,,No
TALO,2025-12-19,SELL_TGT_30w:11.9682,9.5,TARGET,SELL_TGT_30w,3.95,,No
THNQ,2025-12-19,Stage: Mark-Up,70.0,WATCH,STAGE,,Double Bottom,No
THNQ,2025-12-19,SELL_TGT_6w:66.3977,3.13,TARGET,SELL_TGT_6w,1.9,Double Bottom,No
THNQ,2025-12-19,SELL_TGT_8w:66.3977,3.13,TARGET,SELL_TGT_8w,1.9,Double Bottom,No
THNQ,2025-12-19,SELL_TGT_12w:66.0295,2.56,TARGET,SELL_TGT_12w,1.9,Double Bottom,No
THNQ,2025-12-19,SELL_TGT_18w:66.0295,2.56,TARGET,SELL_TGT_18w,1.9,Double Bottom,No
THNQ,2025-12-19,SELL_TGT_30w:66.0295,2.56,TARGET,SELL_TGT_30w,1.9,Double Bottom,No
SizePct
THNQ,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,1.9,Double Bottom,No,2.5
SizePct
THNQ,2025-12-20,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,Near50,1.9,Double Bottom,No,0.0
ACHR,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,No
ACHR,2025-12-19,SELL_TGT_6w:8.7916,7.74,TARGET,SELL_TGT_6w,6.16,,No
ACHR,2025-12-19,SELL_TGT_8w:8.7916,7.74,TARGET,SELL_TGT_8w,6.16,,No
ACHR,2025-12-19,SELL_TGT_12w:8.6126,5.55,TARGET,SELL_TGT_12w,6.16,,No
ACHR,2025-12-19,SELL_TGT_18w:8.6126,5.55,TARGET,SELL_TGT_18w,6.16,,No
ACHR,2025-12-19,SELL_TGT_30w:8.6126,5.55,TARGET,SELL_TGT_30w,6.16,,No
CCJ,2025-12-19,Stage: Mark-Up,70.0,WATCH,STAGE,,Double Bottom,No
CCJ,2025-12-19,SELL_TGT_6w:94.8679,5.42,TARGET,SELL_TGT_6w,4.56,Double Bottom,No
CCJ,2025-12-19,SELL_TGT_8w:94.8679,5.42,TARGET,SELL_TGT_8w,4.56,Double Bottom,No
CCJ,2025-12-19,SELL_TGT_12w:93.7332,4.16,TARGET,SELL_TGT_12w,4.56,Double Bottom,No
CCJ,2025-12-19,SELL_TGT_18w:93.7332,4.16,TARGET,SELL_TGT_18w,4.56,Double Bottom,No
CCJ,2025-12-19,SELL_TGT_30w:93.7332,4.16,TARGET,SELL_TGT_30w,4.56,Double Bottom,No
SizePct
CCJ,2025-12-20,MACD Bearish below zero,43.8,SELL,MACD Bearish below zero,4.56,Double Bottom,No,2.19
SizePct
CCJ,2025-12-20,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,Near50,4.56,Double Bottom,No,0.0
MAMA,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,No
MAMA,2025-12-19,SELL_TGT_6w:14.2006,1.0,TARGET,SELL_TGT_6w,6.11,,No
